FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties
"MI, Ottawa",26139,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,447700,1,7,1
"SD, Miner",46097,Miner,South Dakota,12-31-2024,WOAH Poultry,1500,1,1,1
"SC, Spartanburg",45083,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920,1,1,1
"CA, Butte",06007,Butte,California,12-31-2024,WOAH Non-Poultry; Commercial Raised for Release Upland Game Bird,39890,1,4,1
"CA, Riverside",06065,Riverside,California,12-31-2024,Commercial Table Egg Layer; WOAH Non-Poultry; WOAH Poultry; Commercial Table Egg Pullets,1506470,0,5,1
"MI, Jackson",26075,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9,0,1,1
"MS, Copiah",28029,Copiah,Mississippi,12-30-2024,Commercial Broiler Production; WOAH Poultry,210050,1,2,1
"TN, Tipton",47167,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,100,1,2,1
"ID, Twin Falls",16083,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,120,1,4,1
"AR, Clay",05021,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500,1,1,1
"NE, Johnson",31097,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100,1,1,1
"SD, Edmunds",46045,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer; Commercial Turkey Meat Bird; Commercial Turkey Breeder Hens; Commercial Turkey Breeder Replacement Hens,289700,0,13,1
"WA, Snohomish",53061,Snohomish,Washington,12-30-2022,WOAH Poultry; WOAH Non-Poultry,1169,1,10,1
"MI, Sanilac",26151,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30,0,1,1
"TX, Carson",48065,Carson,Texas,12-29-2023,WOAH Non-Poultry,30,1,1,1
"ND, Mcintosh",38051,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry; WOAH Poultry,260,1,3,1
"WA, Pierce",53053,Pierce,Washington,12-29-2022,WOAH Non-Poultry,770,0,7,1
"CA, Sonoma",06097,Sonoma,California,12-28-2023,Commercial Table Egg Layer; Commercial Duck Meat Bird; WOAH Poultry; Commercial Duck Breeder; WOAH Non-Poultry; Commercial Broiler Production,1231956,0,13,1
"CA, Marin",06041,Marin,California,12-28-2023,Commercial Table Egg Pullets; Commercial Duck Meat Bird,157500,0,2,1
"MT, Missoula",30063,Missoula,Montana,12-28-2023,WOAH Non-Poultry; WOAH Poultry,360,1,4,1
"MO, Audrain",29007,Audrain,Missouri,12-28-2023,WOAH Poultry,330,1,1,1
"TN, Weakley",47183,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder; WOAH Poultry; Commercial Broiler Production,397100,0,5,1
"KS, Elk",20049,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30,1,1,1
"CA, Stanislaus",06099,Stanislaus,California,12-27-2024,Commercial Broiler Production; Commercial Table Egg Layer; Commercial Turkey Meat Bird; Commercial Duck Breeder; WOAH Poultry,2972800,0,18,1
"MO, Pemiscot",29155,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70,0,1,1
"CA, Sacramento",06067,Sacramento,California,12-27-2024,Commercial Broiler Production; Commercial Turkey Meat Bird; WOAH Non-Poultry,360390,0,7,1
"KS, Coffey",20031,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50,0,1,1
"KS, Anderson",20003,Anderson,Kansas,12-27-2024,WOAH Non-Poultry; Commercial Upland Gamebird Producer,8940,0,2,1
"WI, Burnett",55013,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600,1,1,1
"MO, Cooper",29053,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,27900,0,2,1
"OH, Darke",39037,Darke,Ohio,12-27-2024,Commercial Table Egg Layer; Commercial Turkey Meat Bird; Commercial Table Egg Pullets,9628600,1,24,1
"WY, Sheridan",56033,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,70,1,3,1
"MN, Todd",27153,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,304500,1,9,1
"PA, Northumberland",42097,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird; WOAH Poultry,98980,1,2,1
"OH, Hardin",39065,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets; Commercial Table Egg Layer,3977500,0,2,1
"OK, Garfield",40047,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30,1,1,1
"MI, Muskegon",26121,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,114500,0,3,1
"KS, Phillips",20147,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,70,0,2,1
"CA, Merced",06047,Merced,California,12-26-2023,Commercial Table Egg Layer; Commercial Turkey Meat Bird; Commercial Table Egg Pullets; Commercial Duck Meat Bird; Commercial Broiler Production; Commercial Duck Breeder; WOAH Non-Poultry,8721930,0,24,1
"MO, Cass",29037,Cass,Missouri,12-24-2024,WOAH Non-Poultry,70,0,2,1
"OK, Adair",40001,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird; WOAH Poultry; Commercial Broiler Breeder,230100,0,4,1
"MO, Dade",29057,Dade,Missouri,12-24-2024,WOAH Non-Poultry; Commercial Turkey Meat Bird,14120,0,3,1
"VT, Franklin",50011,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20,1,1,1
"CA, San Joaquin",06077,San Joaquin,California,12-24-2024,Commercial Table Egg Layer; Commercial Duck Breeder; Commercial Duck Meat Bird; Commercial Broiler Production; WOAH Non-Poultry; Commercial Turkey Meat Bird,698278,0,8,1
"IL, Lawrence",17101,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,56800,1,2,1
"CA, El Dorado",06017,El Dorado,California,12-23-2024,WOAH Non-Poultry,200,0,3,1
"CA, Glenn",06021,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000,0,1,1
"NE, Dodge",31053,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,50,0,2,1
"MO, Bates",29013,Bates,Missouri,12-21-2022,WOAH Non-Poultry,80,0,2,1
